Industry Group,Symbol,Company Name,Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR),No. of Trades
Banks,1120,Al Rajhi Bank,26/06/2012,43.74,44.22,43.74,43.98,0.30,0.69,1340209,58973978.25,687,
Banks,1120,Al Rajhi Bank,27/06/2012,43.90,43.90,42.92,43.07,-0.91,-2.07,1899065,82178061.75,996,
Banks,1120,Al Rajhi Bank,30/06/2012,43.90,44.39,43.90,44.28,1.21,2.81,2023937,89409403.25,838,
Banks,1120,Al Rajhi Bank,01/07/2012,44.06,44.22,43.90,44.13,-0.15,-0.34,1023239,45113486.25,552,
Banks,1120,Al Rajhi Bank,02/07/2012,43.90,44.06,43.90,44.13,0.00,0.00,866098,38142736,468,
Banks,1120,Al Rajhi Bank,03/07/2012,44.55,46.18,44.55,45.93,1.80,4.08,5287922,242466432.5,1761,
Banks,1120,Al Rajhi Bank,04/07/2012,45.85,45.85,45.04,45.17,-0.76,-1.65,1602187,72746975.25,875,
Banks,1120,Al Rajhi Bank,07/07/2012,45.20,45.20,44.22,44.58,-0.59,-1.31,2043008,91194389,945,
Banks,1120,Al Rajhi Bank,08/07/2012,44.55,44.88,44.22,44.43,-0.15,-0.34,1896502,84416552.25,851,
Banks,1120,Al Rajhi Bank,09/07/2012,44.22,44.39,43.74,43.98,-0.45,-1.01,1493674,65840102,836,
Banks,1120,Al Rajhi Bank,10/07/2012,43.90,44.22,43.57,43.83,-0.15,-0.34,1404796,61626739.75,710,
Banks,1120,Al Rajhi Bank,11/07/2012,44.06,44.22,43.41,43.68,-0.15,-0.34,2116514,92786837.5,1080,
Banks,1120,Al Rajhi Bank,14/07/2012,43.90,44.06,43.41,43.98,0.30,0.69,1931522,84579603.25,681,
Banks,1120,Al Rajhi Bank,15/07/2012,43.90,44.22,43.90,44.13,0.15,0.34,1533024,67483130.75,839,
Banks,1120,Al Rajhi Bank,16/07/2012,43.90,44.22,43.90,44.28,0.15,0.34,1612314,71176222.75,830,
Banks,1120,Al Rajhi Bank,17/07/2012,43.74,43.74,43.25,43.37,-0.91,-2.06,1786367,77773251.25,907,
Banks,1120,Al Rajhi Bank,18/07/2012,43.41,43.57,42.60,42.92,-0.45,-1.04,3908432,167964144.5,1311,
Banks,1120,Al Rajhi Bank,21/07/2012,42.92,43.09,42.60,43.07,0.15,0.35,1501612,64381941.75,586,
Banks,1120,Al Rajhi Bank,22/07/2012,43.09,43.25,42.92,43.22,0.15,0.35,1598195,68860939.25,671,
Banks,1120,Al Rajhi Bank,23/07/2012,43.09,43.09,42.60,42.92,-0.30,-0.69,1855557,79489971.75,796,
Banks,1120,Al Rajhi Bank,24/07/2012,42.76,43.09,42.76,42.92,0.00,0.00,1307729,56162547.25,650,
Banks,1120,Al Rajhi Bank,25/07/2012,42.92,43.25,42.92,43.07,0.15,0.35,1671886,71913932,817,
Banks,1120,Al Rajhi Bank,28/07/2012,43.25,43.74,43.09,43.22,0.15,0.35,3060187,132590618.5,950,
Banks,1120,Al Rajhi Bank,29/07/2012,43.25,43.41,43.09,43.07,-0.15,-0.35,1577106,68153898,701,
Banks,1120,Al Rajhi Bank,30/07/2012,43.25,43.74,43.09,43.53,0.46,1.07,1991898,86380980.75,731,
Banks,1120,Al Rajhi Bank,31/07/2012,43.74,43.90,43.41,43.68,0.15,0.34,1939850,84662356.5,783,
Banks,1120,Al Rajhi Bank,01/08/2012,43.74,43.90,43.57,43.68,0.00,0.00,1327950,58017577.5,674,
Banks,1120,Al Rajhi Bank,04/08/2012,43.90,44.39,43.90,44.28,0.60,1.37,1646428,72884646.25,788,
Banks,1120,Al Rajhi Bank,05/08/2012,44.22,44.55,43.90,43.98,-0.30,-0.68,1695010,75158071.5,805,
Banks,1120,Al Rajhi Bank,06/08/2012,43.90,44.22,43.90,43.98,0.00,0.00,1145052,50454663,563,
Banks,1120,Al Rajhi Bank,07/08/2012,43.90,44.22,43.74,44.13,0.15,0.34,1650126,72600839.25,635,
Banks,1120,Al Rajhi Bank,08/08/2012,44.22,44.39,44.06,44.28,0.15,0.34,1190608,52689683.25,618,
Banks,1120,Al Rajhi Bank,11/08/2012,44.22,44.55,44.22,44.28,0.00,0.00,1721614,76434553.25,628,
Banks,1120,Al Rajhi Bank,12/08/2012,44.22,44.39,43.90,44.28,0.00,0.00,1530569,67710480.5,684,
Banks,1120,Al Rajhi Bank,13/08/2012,44.06,44.22,43.90,43.98,-0.30,-0.68,1303470,57450483,596,
Banks,1120,Al Rajhi Bank,14/08/2012,44.06,44.22,43.90,43.98,0.00,0.00,1294424,57001073.5,594,
Banks,1120,Al Rajhi Bank,15/08/2012,44.06,44.06,43.90,44.13,0.15,0.34,1008516,44443830.5,495,
Banks,1120,Al Rajhi Bank,25/08/2012,44.39,44.55,44.22,44.43,0.30,0.68,1048336,46580000.25,383,
Banks,1120,Al Rajhi Bank,26/08/2012,44.55,44.55,44.22,44.28,-0.15,-0.34,1070425,47518922.5,562,
Banks,1120,Al Rajhi Bank,27/08/2012,44.39,44.55,44.22,44.43,0.15,0.34,1007912,44757486.75,533,
Banks,1120,Al Rajhi Bank,28/08/2012,44.22,44.55,44.22,44.43,0.00,0.00,1460579,64883563,717,
Banks,1120,Al Rajhi Bank,29/08/2012,44.22,44.39,44.22,44.28,-0.15,-0.34,1309966,58112935,651,
Banks,1120,Al Rajhi Bank,01/09/2012,44.39,44.71,44.39,44.43,0.15,0.34,1355665,60380538.25,648,
Banks,1120,Al Rajhi Bank,02/09/2012,44.39,44.55,44.06,44.13,-0.30,-0.68,1189074,52707360,625,
Banks,1120,Al Rajhi Bank,03/09/2012,44.06,44.39,44.06,44.28,0.15,0.34,1554551,68864251.25,653,
